trip_id,driver_id,date,start_time,end_time,duration_min,distance_km,fare,surge_multiplier,pickup_location,dropoff_location,trip_status
TRIP001,DRV107,2024-02-06,06:45:00,07:03:00,18,8.2,145,1.0,Andheri West,BKC,completed
TRIP002,DRV188,2024-02-06,07:15:00,07:38:00,23,12.4,220,1.2,BKC,Lower Parel,completed
TRIP003,DRV003,2024-02-06,07:52:00,08:15:00,23,9.8,175,1.0,Worli,Bandra,completed
TRIP004,DRV210,2024-02-06,08:28:00,08:52:00,24,11.2,198,1.0,Bandra,Powai,completed
TRIP005,DRV206,2024-02-06,09:15:00,09:42:00,27,14.5,258,1.3,Powai,Goregaon,completed
TRIP006,DRV077,2024-02-06,10:05:00,10:28:00,23,10.1,182,1.0,Goregaon,Andheri,completed
TRIP007,DRV095,2024-02-06,10:48:00,11:15:00,27,13.8,245,1.0,Andheri,Malad,completed
TRIP008,DRV050,2024-02-06,17:30:00,17:58:00,28,15.2,312,1.5,Whitefield,Indiranagar,completed
TRIP009,DRV070,2024-02-06,18:15:00,18:42:00,27,12.8,268,1.4,Indiranagar,Koramangala,completed
TRIP010,DRV145,2024-02-06,19:05:00,19:35:00,30,16.5,345,1.6,Koramangala,Electronic City,completed
TRIP025,DRV188,2024-02-06,07:55:00,07:29:00,34,8.7,274,1.3,Dwarka,Banjara Hills,completed
